timestamp,video_id,category,language,region,duration_sec,views,likes,comments,shares,sentiment_score,ads_enabled
2025-08-27 00:23:32,VID_634261,Music,Spanish,PK,1633,18258,1381,261,23,-0.456,True
2025-02-20 10:15:52,VID_559281,Coding,Japanese,UK,589,50677,653,56,110,-0.089,True
2024-01-30 00:43:55,VID_649652,Tech Reviews,Spanish,BR,1382,27079,627,92,37,0.049,False
2024-01-20 04:20:13,VID_490485,Education,Japanese,BR,2247,13952,924,144,37,0.901,True
2024-02-29 07:43:10,VID_360627,Gaming,Spanish,IN,528,15837,699,69,31,0.042,True
2025-07-15 07:13:58,VID_110766,Tech Reviews,Spanish,PK,1228,6186,228,17,7,0.01,True
2024-10-12 06:15:06,VID_163939,Gaming,Japanese,IN,2252,119,2,0,0,0.713,True
2025-03-03 04:10:59,VID_513480,Tech Reviews,English,BR,190,5404,168,18,18,0.866,True
2025-02-04 16:21:45,VID_818913,Coding,Spanish,IN,3228,741,16,3,3,-0.358,True
2024-12-11 03:11:24,VID_133966,Education,Japanese,IN,655,26287,2031,205,59,0.495,False
2024-10-06 23:25:58,VID_453631,Coding,Urdu,IN,2123,21229,2113,170,74,0.447,False
2025-06-02 19:51:57,VID_334309,Vlogs,Japanese,IN,1318,5923,71,9,28,0.978,False
2024-04-30 19:11:53,VID_763476,Gaming,Spanish,UK,1562,9930,136,23,21,-0.685,True
2024-04-28 12:14:23,VID_365283,Tech Reviews,Japanese,BR,115,7063,209,40,27,-0.034,False
2024-03-12 19:28:55,VID_398777,Coding,Hindi,US,2097,10907,160,10,48,0.961,True
2025-05-20 18:58:31,VID_832200,Music,English,UK,3122,1128,92,16,2,-0.656,False
2024-12-24 01:49:43,VID_450493,Gaming,English,IN,865,41594,592,44,111,-0.708,True
2024-03-13 07:06:53,VID_878317,Vlogs,Hindi,BR,2931,8986,279,48,24,-0.529,True
2024-08-27 00:55:58,VID_278194,Coding,Hindi,UK,2094,9185,227,34,9,-0.753,True
2024-05-30 04:32:36,VID_285955,Tech Reviews,English,BR,2853,4022,280,28,6,0.831,False
2025-11-23 13:50:16,VID_114641,Education,Hindi,UK,3549,12778,890,162,48,0.737,True
2024-12-10 11:59:48,VID_855935,Coding,Japanese,US,1335,22102,1300,229,83,-0.483,True
2024-02-17 00:42:30,VID_814786,Coding,Japanese,BR,2873,2134,63,5,5,0.409,True
2025-11-03 03:39:04,VID_177740,Coding,Urdu,IN,2641,1442,66,10,6,-0.561,True
2024-06-23 01:41:49,VID_929222,Music,English,PK,2634,20651,358,46,102,0.989,False
2024-02-03 11:18:16,VID_277848,Tech Reviews,Urdu,IN,3320,2394,110,6,5,-0.731,True
2025-10-21 12:38:58,VID_494677,Education,Spanish,IN,1491,3878,202,39,15,0.741,True
2024-12-02 11:31:25,VID_703346,Coding,Japanese,IN,1722,25286,2269,220,53,0.353,True
2024-09-16 07:47:02,VID_850766,Education,Japanese,IN,1450,25377,2038,371,119,0.735,True
2025-07-02 17:47:00,VID_230805,Vlogs,Japanese,PK,116,8248,87,5,36,-0.039,True
2024-10-30 01:51:54,VID_603679,Coding,Spanish,UK,3058,12975,1028,185,55,0.216,True
2025-11-10 15:47:48,VID_995239,Music,Japanese,UK,1353,1190,55,9,5,0.081,True
2024-10-15 09:54:18,VID_694596,Coding,Spanish,BR,1668,1897,120,10,8,-0.038,True
2025-08-02 00:51:27,VID_367152,Gaming,Hindi,PK,939,4814,94,10,11,0.498,True
2024-08-24 14:21:49,VID_728936,Coding,English,PK,2542,3784,336,42,16,-0.816,True
2024-03-09 09:55:08,VID_617999,Tech Reviews,Urdu,IN,2402,11481,427,56,31,0.136,True
2024-07-25 16:46:52,VID_635239,Coding,Japanese,US,816,6156,428,43,6,0.171,False
2024-10-21 19:49:53,VID_360788,Gaming,Urdu,IN,1637,41,3,0,0,-0.899,True
2025-07-05 12:53:46,VID_335407,Tech Reviews,Hindi,US,896,12523,1035,199,26,0.337,True
